Disease,Category,Symptoms,Vaccine_Available,Vaccine_Name,Reason
Mumps,Disease,chills; fever; malaise; fatigue; weight loss; night sweats,Yes,MMR Vaccine,
Marburg,Disease,fatigue; fever; weight loss; malaise; chills; night sweats,No,,Vaccine development not prioritized
Eating Disorders,Disorder,chills; night sweats; fever; malaise; weight loss,No,,Mental health and behavioral disorders
Human Papillomavirus,Virus,blisters; dry skin; itching; hair loss,Yes,HPV Vaccine,
Coronavirus,Virus,dizziness; memory loss; numbness,No,,Vaccine development not prioritized
Thyroid Disorders,Disorder,weight loss; fever; fatigue; chills; malaise,No,,Endocrine disorders from various causes
Varicella-Zoster Virus,Virus,confusion; seizures; headache; fatigue,No,,Vaccine development not prioritized
Tularemia,Disease,fever; fatigue; night sweats; chills; malaise,No,,Vaccine development not prioritized
Streptococcus pneumoniae,Bacteria,fever; fatigue; runny nose; wheezing,Yes,Pneumococcal Vaccine,
Coronavirus,Virus,fever; weight loss; night sweats; confusion; tingling,No,,Vaccine development not prioritized
Smallpox,Disease,night sweats; fever; fatigue,No,,Vaccine development not prioritized
Enterococcus faecalis,Bacteria,back pain; fever; swelling; weakness,No,,Common hospital-acquired infection
Zika Virus,Virus,chills; malaise; numbness,No,,Ongoing research with no approved vaccine yet due to multiple strains
Parainfluenza Virus,Virus,seizures; malaise; dizziness; fatigue,No,,Vaccine development not prioritized
Meningitis,Disease,fatigue; fever; chills,Yes,Meningococcal Vaccine,
Bacillus anthracis,Bacteria,joint pain; night sweats; muscle pain; back pain; malaise,Yes,Anthrax Vaccine,
Thyroid Disorders,Disorder,weight loss; night sweats; chills; fatigue; fever; malaise,No,,Endocrine disorders from various causes
SARS,Disease,chills; fatigue; night sweats; fever,No,,"Disease eradicated in humans, no ongoing need for vaccine"
Anthrax,Disease,night sweats; fever; weight loss; chills,No,,Vaccine development not prioritized
Bipolar Disorder,Disorder,chills; fatigue; night sweats; fever; malaise; weight loss,No,,Mental health condition
Streptococcus pneumoniae,Bacteria,fever; cough; sore throat; chest pain; shortness of breath,Yes,Pneumococcal Vaccine,
Epstein-Barr Virus,Virus,fatigue; fatigue; dizziness; chills; numbness; headache,No,,"Causes lifelong infection, vaccine development challenging"
Bacillus anthracis,Bacteria,swelling; joint pain; weight loss; chills; fever,Yes,Anthrax Vaccine,
Marburg,Disease,weight loss; night sweats; fatigue; fever; malaise,No,,Vaccine development not prioritized
Shingles,Disease,weight loss; malaise; fever; chills,No,,Vaccine development not prioritized
Asthma,Disorder,chills; weight loss; fever; fatigue,No,,"Allergic inflammatory condition, not infectious"
Swine Flu,Disease,fever; wheezing; chest pain,No,,"Similar to seasonal flu, covered by existing influenza vaccines"
Campylobacter,Bacteria,chills; weakness; swelling; stiffness; fever; night sweats,No,,Complex bacterial structure
Pertussis,Disease,chills; fever; fatigue; malaise,Yes,Tdap Vaccine,
Post-Traumatic Stress Disorder,Disorder,chills; fever; weight loss,No,,Vaccine development not prioritized
West Nile Virus,Virus,tingling; seizures; fever; malaise; night sweats,No,,Limited human cases and complex transmission cycle
Mycobacterium tuberculosis,Bacteria,shortness of breath; wheezing; fever,Yes,BCG Vaccine,
West Nile Virus,Virus,fatigue; confusion; tingling; fever; night sweats,No,,Limited human cases and complex transmission cycle
Smallpox,Disease,chills; weight loss; malaise,No,,Vaccine development not prioritized
Obsessive Compulsive Disorder,Disorder,weight loss; fatigue; chills; malaise; fever; night sweats,No,,Vaccine development not prioritized
Hypertension,Disorder,night sweats; chills; malaise; fever; fatigue,No,,"Lifestyle and genetic factors, not infectious"
Obsessive Compulsive Disorder,Disorder,malaise; chills; weight loss; fever,No,,Vaccine development not prioritized
Asthma,Disorder,fever; malaise; weight loss; fatigue; night sweats,No,,"Allergic inflammatory condition, not infectious"
Rubella,Disease,malaise; chills; fatigue; fever; weight loss,Yes,MMR Vaccine,
Botulism,Disease,weight loss; night sweats; fatigue; chills,No,,Vaccine development not prioritized
Salmonella,Bacteria,stiffness; chills; fever; weight loss; back pain; joint pain,Limited,Typhoid Vaccine,Limited to specific serotypes
Respiratory Syncytial Virus,Virus,runny nose; sore throat; fever; chest pain; shortness of breath,No,,Previous vaccine trials showed safety concerns
Staphylococcus aureus,Bacteria,fatigue; weakness; weight loss,No,,Bacteria has multiple strains and toxin variants
Depression,Disorder,chills; night sweats; fever; malaise; fatigue,No,,Mental health condition with multiple causes
Escherichia coli,Bacteria,fatigue; weight loss; weakness,Limited,Travelers' Diarrhea Vaccine,Limited to specific strains
Marburg,Disease,fatigue; night sweats; malaise; chills; fever; weight loss,No,,Vaccine development not prioritized
Bronchitis,Disease,fatigue; malaise; weight loss,No,,Vaccine development not prioritized
Encephalitis,Disease,night sweats; malaise; fever; chills; fatigue; weight loss,No,,Vaccine development not prioritized
Adenovirus,Virus,memory loss; numbness; tingling; chills; night sweats,Limited,Military Adenovirus Vaccine,Limited to specific strains and populations
Clostridium botulinum,Bacteria,weakness; fatigue; fever; swelling,No,,"Toxin-mediated disease, limited cases"
Rhinovirus,Virus,dizziness; malaise; weight loss; headache,No,,Over 100 serotypes make vaccine impractical
Legionella pneumophila,Bacteria,swelling; night sweats; weakness; weight loss; fatigue; muscle pain,No,,Environmental bacterium with limited human cases
Borrelia burgdorferi,Bacteria,back pain; stiffness; malaise,No,,Previous vaccine withdrawn due to concerns
Dengue Virus,Virus,seizures; malaise; fatigue; dizziness,No,,Vaccine development not prioritized
Hepatitis B,Disease,fatigue; night sweats; malaise; fever; chills; weight loss,Yes,Hepatitis B Vaccine,
Coronavirus,Virus,night sweats; dizziness; memory loss; tingling; fatigue; chills,No,,Vaccine development not prioritized
Depression,Disorder,night sweats; weight loss; fever; fatigue; chills,No,,Mental health condition with multiple causes
Human Immunodeficiency Virus,Virus,numbness; seizures; memory loss,No,,Vaccine development not prioritized
Avian Flu,Disease,chest pain; fatigue; sore throat; wheezing; cough,No,,Rapid mutation and limited human transmission
Multiple Sclerosis,Disorder,fatigue; fever; weight loss; malaise; chills,No,,Autoimmune neurological disease
Dengue,Disease,night sweats; malaise; weight loss; fatigue,Limited,Dengvaxia,Vaccine available but restricted to specific populations due to safety concerns
Multiple Sclerosis,Disorder,fatigue; chills; night sweats,No,,Autoimmune neurological disease
Encephalitis,Disease,fatigue; night sweats; chills; malaise; weight loss; fever,No,,Vaccine development not prioritized
Coronavirus,Virus,numbness; weight loss; chills,No,,Vaccine development not prioritized
Polio,Disease,chills; fever; night sweats; malaise; fatigue; weight loss,Yes,Polio Vaccine,
Epilepsy,Disorder,chills; night sweats; fatigue; malaise,No,,Neurological disorder from various causes
Alzheimer's Disease,Disorder,chills; fatigue; night sweats; fever; weight loss,No,,Neurodegenerative disease with complex causes
Stroke,Disorder,weight loss; night sweats; chills,No,,"Caused by various risk factors, not a single pathogen"
Sleep Disorders,Disorder,fatigue; malaise; night sweats; chills,No,,Various causes including lifestyle and medical conditions
SARS,Disease,night sweats; chills; fatigue,No,,"Disease eradicated in humans, no ongoing need for vaccine"
Francisella tularensis,Bacteria,chills; night sweats; stiffness,No,,Rare bacterial infection
Borrelia burgdorferi,Bacteria,back pain; muscle pain; swelling,No,,Previous vaccine withdrawn due to concerns
Influenza,Disease,cough; wheezing; fever; fatigue; shortness of breath; runny nose,Yes,Influenza Vaccine,
Marburg,Disease,malaise; weight loss; fatigue,No,,Vaccine development not prioritized
Diphtheria,Disease,chills; malaise; fever; fatigue; weight loss,Yes,Tdap Vaccine,
Clostridium difficile,Bacteria,fatigue; weight loss; weakness; joint pain; malaise; night sweats,No,,Bacterial toxin-mediated disease
Acinetobacter baumannii,Bacteria,malaise; fever; muscle pain; weakness; stiffness,No,,Hospital-acquired infection with multiple strains
Rabies,Disease,fever; chills; night sweats; malaise,Yes,Rabies Vaccine,
Human Immunodeficiency Virus,Virus,numbness; malaise; tingling,No,,Vaccine development not prioritized
Enterococcus faecalis,Bacteria,stiffness; fatigue; swelling; fever; weight loss; malaise,No,,Common hospital-acquired infection
Salmonella,Bacteria,weakness; swelling; malaise; fever; muscle pain,Limited,Typhoid Vaccine,Limited to specific serotypes
Rotavirus,Virus,fatigue; malaise; fatigue,Yes,Rotavirus Vaccine,
Rabies,Disease,chills; night sweats; weight loss,Yes,Rabies Vaccine,
Bronchitis,Disease,chills; fatigue; night sweats; fever; weight loss,No,,Vaccine development not prioritized
Tetanus,Disease,chills; fever; night sweats,Yes,Tdap Vaccine,
Schizophrenia,Disorder,fever; fatigue; chills; weight loss; malaise; night sweats,No,,Severe mental health disorder
Diabetes Mellitus,Disorder,fever; fatigue; malaise; chills; weight loss,No,,Vaccine development not prioritized
Rubella,Disease,fever; weight loss; chills,Yes,MMR Vaccine,
Rhinovirus,Virus,seizures; night sweats; confusion; dizziness; fatigue; tingling,No,,Over 100 serotypes make vaccine impractical
Eating Disorders,Disorder,night sweats; weight loss; fever,No,,Mental health and behavioral disorders
Herpes Simplex Virus,Virus,blisters; hair loss; redness,No,,Vaccine development not prioritized
Japanese Encephalitis Virus,Virus,dizziness; headache; fatigue; malaise; memory loss; fever,No,,Vaccine development not prioritized
Tetanus,Disease,chills; night sweats; fatigue; fever,Yes,Tdap Vaccine,
Coronavirus,Virus,confusion; fever; memory loss,No,,Vaccine development not prioritized
Human Immunodeficiency Virus,Virus,confusion; weight loss; night sweats; chills; fatigue; dizziness,No,,Vaccine development not prioritized
Dengue Virus,Virus,tingling; memory loss; malaise; dizziness; fever; seizures,No,,Vaccine development not prioritized
Chickenpox,Disease,night sweats; fatigue; fever; malaise; weight loss,Yes,Varicella Vaccine,
Anthrax,Disease,chills; malaise; weight loss; night sweats; fever; fatigue,No,,Vaccine development not prioritized
Bipolar Disorder,Disorder,chills; malaise; fatigue; night sweats; weight loss,No,,Mental health condition
Yersinia pestis,Bacteria,muscle pain; fatigue; joint pain; swelling; malaise; chills,No,,Rare disease with limited research
Diabetes Mellitus,Disorder,fatigue; fever; malaise; weight loss; night sweats; chills,No,,Vaccine development not prioritized
Bipolar Disorder,Disorder,fever; night sweats; malaise; fatigue; chills; weight loss,No,,Mental health condition
Human Immunodeficiency Virus,Virus,numbness; weight loss; seizures,No,,Vaccine development not prioritized
Dengue Virus,Virus,fatigue; chills; fever; dizziness,No,,Vaccine development not prioritized
Typhoid,Disease,diarrhea; loss of appetite; vomiting; nausea,Yes,Typhoid Vaccine,
Influenza Viruses,Virus,seizures; dizziness; tingling; chills; weight loss; memory loss,No,,Vaccine development not prioritized
Encephalitis,Disease,night sweats; chills; fatigue; fever; weight loss,No,,Vaccine development not prioritized
Asthma,Disorder,night sweats; fatigue; malaise; chills; weight loss; fever,No,,"Allergic inflammatory condition, not infectious"
Human Papillomavirus,Virus,redness; blisters; dry skin,Yes,HPV Vaccine,
Coronary Artery Disease,Disorder,malaise; fatigue; chills; fever,No,,Cardiovascular disease from multiple risk factors
Hepatitis Viruses,Virus,fatigue; night sweats; fever; seizures,No,,Vaccine development not prioritized
Thyroid Disorders,Disorder,fever; night sweats; weight loss; malaise,No,,Endocrine disorders from various causes
Respiratory Syncytial Virus,Virus,fatigue; runny nose; fever; cough,No,,Previous vaccine trials showed safety concerns
Influenza Viruses,Virus,confusion; fatigue; malaise; tingling,No,,Vaccine development not prioritized
West Nile Virus,Virus,headache; chills; fatigue,No,,Limited human cases and complex transmission cycle
Monkeypox,Disease,night sweats; chills; fatigue,No,,Vaccine development not prioritized
Herpes Simplex Virus,Virus,dry skin; redness; rash; blisters; hair loss; itching,No,,Vaccine development not prioritized
Sleep Disorders,Disorder,night sweats; fatigue; malaise; weight loss; fever; chills,No,,Various causes including lifestyle and medical conditions
Marburg,Disease,chills; fatigue; night sweats,No,,Vaccine development not prioritized
Monkeypox,Disease,chills; weight loss; night sweats; fatigue,No,,Vaccine development not prioritized
Acinetobacter baumannii,Bacteria,fever; chills; muscle pain,No,,Hospital-acquired infection with multiple strains
Post-Traumatic Stress Disorder,Disorder,fatigue; malaise; fever,No,,Vaccine development not prioritized
Mycobacterium leprae,Bacteria,fatigue; swelling; joint pain; chills,No,,Limited global incidence
Swine Flu,Disease,chest pain; sore throat; fatigue; fever; shortness of breath,No,,"Similar to seasonal flu, covered by existing influenza vaccines"
Obsessive Compulsive Disorder,Disorder,weight loss; fatigue; chills; malaise; fever,No,,Vaccine development not prioritized
Legionella pneumophila,Bacteria,muscle pain; weight loss; chills,No,,Environmental bacterium with limited human cases
Typhoid,Disease,bloating; nausea; loss of appetite,Yes,Typhoid Vaccine,
Bacillus anthracis,Bacteria,stiffness; night sweats; fever; swelling; malaise; weakness,Yes,Anthrax Vaccine,
Eating Disorders,Disorder,fatigue; chills; fever; weight loss; night sweats,No,,Mental health and behavioral disorders
Multiple Sclerosis,Disorder,malaise; fatigue; fever; weight loss; night sweats,No,,Autoimmune neurological disease
Francisella tularensis,Bacteria,chills; fever; swelling; back pain; stiffness,No,,Rare bacterial infection
Influenza Viruses,Virus,fatigue; headache; night sweats; fever,No,,Vaccine development not prioritized
Hepatitis A,Disease,fever; night sweats; malaise; chills,Yes,Hepatitis A Vaccine,
